"name","parameters","activations","parameters_MB","activations_MB","id","bits32_size_MB","bits8_size_MB"
"res2b1_branch2a",65792,301056,0.263168,1.204224,"resnet50",1.467392,0.366848
"res2b1_branch2b",147712,301056,0.590848,1.204224,"resnet50",1.795072,0.448768
"res2b1",66560,1605632,0.26624,6.422528,"resnet50",6.688768,1.672192
"res2b2_branch2a",65792,301056,0.263168,1.204224,"resnet50",1.467392,0.366848
"res2b2_branch2b",147712,301056,0.590848,1.204224,"resnet50",1.795072,0.448768
"res2b2",66560,1605632,0.26624,6.422528,"resnet50",6.688768,1.672192
"res2b3_branch2a",65792,301056,0.263168,1.204224,"resnet50",1.467392,0.366848
"res2b3_branch2b",147712,301056,0.590848,1.204224,"resnet50",1.795072,0.448768
"res2b3",66560,1605632,0.26624,6.422528,"resnet50",6.688768,1.672192
"res3a_branch2a",131584,602112,0.526336,2.408448,"resnet50",2.934784,0.733696
"res3a_branch2b",590336,150528,2.361344,0.602112,"resnet50",2.963456,0.740864
"res3a",790528,1204224,3.162112,4.816896,"resnet50",7.979008,1.994752
"res3b1_branch2a",262656,150528,1.050624,0.602112,"resnet50",1.652736,0.413184
"res3b1_branch2b",590336,150528,2.361344,0.602112,"resnet50",2.963456,0.740864
"res3b1",264192,802816,1.056768,3.211264,"resnet50",4.268032,1.067008
"res3b2_branch2a",262656,150528,1.050624,0.602112,"resnet50",1.652736,0.413184
"res3b2_branch2b",590336,150528,2.361344,0.602112,"resnet50",2.963456,0.740864
"res3b2",264192,802816,1.056768,3.211264,"resnet50",4.268032,1.067008
"res3b3_branch2a",262656,150528,1.050624,0.602112,"resnet50",1.652736,0.413184
"res3b3_branch2b",590336,150528,2.361344,0.602112,"resnet50",2.963456,0.740864
"res3b3",264192,802816,1.056768,3.211264,"resnet50",4.268032,1.067008
"res3b4_branch2a",262656,150528,1.050624,0.602112,"resnet50",1.652736,0.413184
"res3b4_branch2b",590336,150528,2.361344,0.602112,"resnet50",2.963456,0.740864
"res3b4",264192,802816,1.056768,3.211264,"resnet50",4.268032,1.067008
"res3b5_branch2a",262656,150528,1.050624,0.602112,"resnet50",1.652736,0.413184
"res3b5_branch2b",590336,150528,2.361344,0.602112,"resnet50",2.963456,0.740864
"res3b5",264192,802816,1.056768,3.211264,"resnet50",4.268032,1.067008
"res4a_branch2a",525312,301056,2.101248,1.204224,"resnet50",3.305472,0.826368
"res4a_branch2b",2360320,75264,9.44128,0.301056,"resnet50",9.742336,2.435584
"res4a",3153920,602112,12.61568,2.408448,"resnet50",15.024128,3.756032
"res4b1_branch2a",1049600,75264,4.1984,0.301056,"resnet50",4.499456,1.124864
"res4b1_branch2b",2360320,75264,9.44128,0.301056,"resnet50",9.742336,2.435584
"res4b1",1052672,401408,4.210688,1.605632,"resnet50",5.81632,1.45408
"res4b2_branch2a",1049600,75264,4.1984,0.301056,"resnet50",4.499456,1.124864
"res4b2_branch2b",2360320,75264,9.44128,0.301056,"resnet50",9.742336,2.435584
"res4b2",1052672,401408,4.210688,1.605632,"resnet50",5.81632,1.45408
"apool",0,2048,0,0.008192,"resnet50",0.008192,0.002048
"flatten",0,2048,0,0.008192,"resnet50",0.008192,0.002048
"output",2049000,2000,8.196,0.008,"resnet50",8.204,2.051
