Size,SizeRatio,Top1,Top5,W1,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W2,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W3,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W4,W40,W41,W42,W43,W44,W45,W46,W47,W48,W49,W5,W50,W51,W52,W53,W54,W6,W7,W8,W9
80851264.0,0.09907111783940595,60.86,84.36,7.0,2.0,1.0,6.0,1.0,4.0,1.0,4.0,7.0,5.0,5.0,1.0,4.0,4.0,1.0,6.0,5.0,3.0,4.0,5.0,6.0,1.0,1.0,5.0,1.0,2.0,1.0,6.0,1.0,3.0,2.0,4.0,1.0,6.0,6.0,2.0,3.0,2.0,3.0,3.0,1.0,3.0,1.0,5.0,6.0,2.0,3.0,6.0,3.0,1.0,1.0,3.0,4.0,4.0
76494336.0,0.09373235495617128,66.61,88.72,8.0,6.0,6.0,3.0,5.0,1.0,2.0,1.0,4.0,4.0,3.0,3.0,5.0,1.0,7.0,1.0,7.0,1.0,3.0,5.0,4.0,6.0,5.0,3.0,3.0,2.0,4.0,4.0,1.0,1.0,6.0,8.0,5.0,2.0,6.0,5.0,5.0,3.0,4.0,1.0,1.0,5.0,4.0,2.0,2.0,2.0,1.0,4.0,2.0,2.0,3.0,7.0,7.0,8.0
81418176.0,0.09976578360933841,65.07,87.21,5.0,6.0,5.0,5.0,1.0,3.0,4.0,3.0,3.0,6.0,6.0,4.0,1.0,1.0,6.0,6.0,2.0,7.0,5.0,6.0,2.0,1.0,2.0,5.0,5.0,1.0,4.0,2.0,6.0,6.0,1.0,5.0,5.0,1.0,2.0,5.0,4.0,5.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,6.0,4.0,5.0,3.0,5.0,2.0,6.0,3.0,4.0
81196224.0,0.09949381466712508,41.01,67.58,1.0,7.0,1.0,6.0,7.0,5.0,2.0,5.0,6.0,4.0,3.0,6.0,3.0,6.0,6.0,2.0,6.0,1.0,1.0,5.0,5.0,1.0,1.0,6.0,2.0,1.0,2.0,6.0,4.0,5.0,4.0,6.0,4.0,3.0,1.0,1.0,1.0,5.0,2.0,1.0,5.0,1.0,3.0,6.0,3.0,1.0,2.0,6.0,4.0,1.0,4.0,3.0,6.0,5.0
81404224.0,0.09974868752242881,64.79,87.35,7.0,4.0,4.0,4.0,3.0,2.0,1.0,3.0,5.0,3.0,1.0,5.0,6.0,7.0,2.0,3.0,5.0,3.0,1.0,1.0,4.0,3.0,2.0,1.0,6.0,1.0,7.0,3.0,4.0,3.0,7.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,3.0,5.0,3.0,4.0,5.0,5.0,3.0,6.0,1.0,1.0,1.0,2.0,4.0,7.0,6.0,5.0
81253120.0,0.09956353219585277,66.43,87.3,4.0,6.0,1.0,6.0,1.0,1.0,3.0,5.0,3.0,1.0,1.0,1.0,4.0,3.0,2.0,7.0,7.0,5.0,1.0,5.0,2.0,1.0,4.0,3.0,5.0,2.0,6.0,2.0,1.0,1.0,1.0,6.0,2.0,2.0,5.0,1.0,1.0,6.0,7.0,2.0,5.0,6.0,1.0,1.0,1.0,2.0,6.0,2.0,6.0,4.0,1.0,5.0,6.0,1.0
81072448.0,0.0993421457126151,59.57,83.5,7.0,3.0,5.0,4.0,8.0,6.0,8.0,5.0,2.0,6.0,4.0,4.0,7.0,7.0,1.0,8.0,5.0,7.0,3.0,1.0,1.0,7.0,6.0,1.0,1.0,3.0,5.0,3.0,1.0,8.0,5.0,7.0,1.0,8.0,5.0,6.0,6.0,1.0,1.0,3.0,4.0,2.0,4.0,1.0,3.0,3.0,8.0,4.0,1.0,1.0,8.0,8.0,8.0,3.0
80891008.0,0.09911981816037321,65.33,87.02,6.0,1.0,1.0,3.0,1.0,5.0,1.0,7.0,5.0,2.0,5.0,1.0,3.0,2.0,5.0,3.0,3.0,1.0,1.0,6.0,5.0,1.0,3.0,6.0,4.0,7.0,4.0,1.0,5.0,2.0,1.0,1.0,3.0,7.0,1.0,1.0,7.0,3.0,2.0,2.0,4.0,2.0,7.0,3.0,7.0,1.0,1.0,5.0,3.0,3.0,3.0,6.0,1.0,3.0
79291136.0,0.09715941457979387,53.94,80.6,4.0,7.0,3.0,5.0,6.0,2.0,4.0,4.0,4.0,3.0,2.0,7.0,5.0,1.0,1.0,1.0,4.0,3.0,5.0,3.0,7.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,4.0,6.0,3.0,1.0,1.0,4.0,1.0,5.0,7.0,1.0,4.0,6.0,4.0,5.0,5.0,1.0,1.0,1.0,1.0,4.0,6.0,5.0
79718784.0,0.09768343317029836,64.13,86.47,2.0,5.0,1.0,6.0,2.0,3.0,3.0,7.0,1.0,6.0,7.0,1.0,7.0,2.0,3.0,1.0,6.0,5.0,2.0,7.0,1.0,3.0,1.0,3.0,1.0,7.0,7.0,3.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,7.0,1.0,3.0,7.0,1.0,1.0,1.0,6.0,6.0,5.0,7.0,1.0,2.0,1.0,7.0,3.0,1.0
