Size,SizeRatio,Top1,Top5,W1,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W2,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W3,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W4,W40,W41,W42,W43,W44,W45,W46,W47,W48,W49,W5,W50,W51,W52,W53,W54,W6,W7,W8,W9
81439872.0,0.09979236880870702,59.87,84.37,6.0,3.0,7.0,4.0,5.0,7.0,4.0,7.0,3.0,2.0,5.0,3.0,3.0,7.0,4.0,4.0,8.0,8.0,3.0,5.0,1.0,6.0,6.0,4.0,3.0,3.0,6.0,2.0,1.0,7.0,5.0,1.0,4.0,6.0,2.0,4.0,1.0,4.0,2.0,5.0,1.0,1.0,6.0,1.0,4.0,5.0,2.0,6.0,1.0,1.0,2.0,5.0,2.0,2.0
79590912.0,0.09752674518109931,68.79,89.39,8.0,3.0,1.0,5.0,5.0,2.0,4.0,1.0,6.0,6.0,6.0,8.0,5.0,6.0,4.0,3.0,1.0,1.0,5.0,3.0,4.0,5.0,7.0,2.0,1.0,1.0,3.0,2.0,5.0,3.0,1.0,5.0,3.0,3.0,2.0,1.0,4.0,8.0,1.0,3.0,1.0,3.0,2.0,3.0,2.0,3.0,1.0,5.0,4.0,3.0,8.0,3.0,5.0,7.0
81607040.0,0.09999720816195422,53.73,78.95,2.0,2.0,1.0,1.0,5.0,1.0,3.0,4.0,6.0,3.0,1.0,1.0,5.0,1.0,5.0,6.0,1.0,2.0,6.0,1.0,1.0,4.0,1.0,2.0,5.0,3.0,3.0,2.0,2.0,3.0,1.0,5.0,2.0,1.0,3.0,2.0,5.0,5.0,2.0,2.0,3.0,6.0,1.0,6.0,1.0,1.0,1.0,1.0,5.0,4.0,1.0,3.0,3.0,7.0
81008576.0,0.0992638801404326,60.59,84.65,5.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,4.0,1.0,2.0,7.0,7.0,4.0,4.0,5.0,1.0,5.0,2.0,7.0,3.0,4.0,7.0,3.0,6.0,7.0,1.0,7.0,1.0,3.0,4.0,7.0,2.0,1.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,6.0,6.0,5.0,1.0,1.0,2.0,4.0,2.0,2.0,3.0,7.0,1.0,4.0
81517696.0,0.09988773046779913,50.72,78.58,6.0,3.0,5.0,6.0,3.0,2.0,4.0,1.0,7.0,1.0,3.0,2.0,6.0,6.0,7.0,1.0,3.0,7.0,4.0,2.0,5.0,1.0,4.0,6.0,1.0,3.0,6.0,7.0,4.0,5.0,7.0,6.0,7.0,7.0,4.0,1.0,1.0,5.0,6.0,4.0,1.0,6.0,6.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,3.0,6.0,4.0
81580800.0,0.09996505497097743,71.88,91.38,4.0,7.0,4.0,8.0,4.0,4.0,1.0,8.0,2.0,2.0,1.0,8.0,6.0,7.0,8.0,7.0,4.0,8.0,8.0,8.0,5.0,1.0,2.0,3.0,5.0,2.0,4.0,2.0,7.0,7.0,5.0,1.0,2.0,7.0,3.0,3.0,6.0,6.0,6.0,3.0,1.0,1.0,4.0,2.0,8.0,7.0,1.0,1.0,1.0,4.0,8.0,7.0,6.0,3.0
81152384.0,0.09944009531146875,45.73,72.34,2.0,3.0,3.0,1.0,1.0,1.0,6.0,4.0,1.0,2.0,4.0,4.0,1.0,4.0,6.0,6.0,7.0,4.0,2.0,1.0,3.0,6.0,7.0,4.0,1.0,1.0,5.0,7.0,1.0,1.0,3.0,6.0,5.0,2.0,1.0,1.0,6.0,7.0,1.0,3.0,4.0,3.0,4.0,6.0,1.0,5.0,1.0,2.0,2.0,1.0,5.0,2.0,3.0,2.0
81561536.0,0.09994144982345546,57.77,82.23,5.0,1.0,4.0,3.0,1.0,1.0,1.0,3.0,6.0,1.0,6.0,1.0,6.0,6.0,2.0,5.0,6.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,5.0,5.0,3.0,2.0,6.0,3.0,3.0,4.0,2.0,1.0,6.0,4.0,3.0,1.0,1.0,4.0,6.0,3.0,1.0,2.0,5.0,1.0,5.0,2.0,4.0,1.0,6.0,4.0,4.0
81429696.0,0.0997798996444014,50.81,76.06,1.0,8.0,3.0,2.0,8.0,1.0,5.0,4.0,2.0,5.0,3.0,1.0,6.0,8.0,6.0,4.0,2.0,7.0,5.0,5.0,1.0,6.0,4.0,2.0,4.0,5.0,1.0,7.0,3.0,2.0,5.0,7.0,2.0,4.0,1.0,1.0,3.0,1.0,4.0,3.0,1.0,5.0,2.0,3.0,1.0,5.0,6.0,1.0,3.0,3.0,2.0,1.0,2.0,1.0
81580352.0,0.09996450601405832,61.28,85.15,7.0,4.0,2.0,1.0,5.0,5.0,4.0,6.0,5.0,3.0,1.0,1.0,2.0,3.0,4.0,6.0,3.0,3.0,1.0,1.0,4.0,3.0,2.0,2.0,3.0,1.0,1.0,4.0,3.0,1.0,5.0,5.0,1.0,4.0,1.0,2.0,6.0,2.0,2.0,3.0,2.0,4.0,6.0,2.0,5.0,2.0,5.0,6.0,5.0,1.0,2.0,6.0,7.0,3.0
80882816.0,0.0991097800909951,58.17,83.71,6.0,1.0,5.0,5.0,1.0,1.0,2.0,3.0,5.0,3.0,1.0,6.0,4.0,1.0,6.0,4.0,7.0,6.0,4.0,7.0,7.0,5.0,1.0,5.0,7.0,2.0,6.0,6.0,6.0,3.0,5.0,7.0,4.0,6.0,5.0,3.0,4.0,4.0,1.0,1.0,2.0,3.0,4.0,5.0,3.0,2.0,2.0,3.0,1.0,1.0,3.0,1.0,1.0,6.0
79651136.0,0.09760054067551188,63.32,86.77,7.0,7.0,7.0,4.0,6.0,5.0,6.0,1.0,6.0,5.0,2.0,3.0,6.0,1.0,1.0,5.0,7.0,5.0,6.0,2.0,2.0,1.0,3.0,1.0,5.0,7.0,4.0,5.0,1.0,1.0,4.0,3.0,6.0,1.0,3.0,6.0,2.0,7.0,6.0,1.0,7.0,2.0,4.0,5.0,4.0,3.0,1.0,1.0,6.0,1.0,2.0,5.0,2.0,3.0
81286336.0,0.09960423343028435,48.15,74.09,1.0,2.0,3.0,7.0,5.0,7.0,2.0,4.0,5.0,1.0,4.0,5.0,4.0,2.0,7.0,1.0,2.0,1.0,7.0,4.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,6.0,3.0,4.0,3.0,5.0,1.0,1.0,1.0,2.0,4.0,3.0,1.0,2.0,6.0,3.0,5.0,6.0,6.0,1.0,1.0,2.0,3.0,4.0,3.0,6.0,6.0,1.0
81453376.0,0.0998089159386975,62.03,85.18,7.0,1.0,2.0,5.0,2.0,1.0,1.0,6.0,6.0,7.0,6.0,1.0,2.0,1.0,3.0,7.0,1.0,1.0,6.0,1.0,3.0,5.0,1.0,5.0,7.0,5.0,4.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,4.0,1.0,5.0,1.0,3.0,3.0,3.0,6.0,5.0,4.0,2.0,4.0,3.0,7.0,3.0,3.0,7.0
80826688.0,0.09904100363127159,57.45,83.34,7.0,2.0,5.0,8.0,4.0,5.0,2.0,5.0,2.0,1.0,2.0,5.0,8.0,7.0,5.0,1.0,7.0,5.0,7.0,3.0,7.0,7.0,3.0,6.0,2.0,7.0,7.0,2.0,7.0,1.0,8.0,3.0,3.0,8.0,6.0,8.0,4.0,2.0,4.0,5.0,1.0,3.0,1.0,2.0,8.0,1.0,1.0,1.0,6.0,1.0,5.0,3.0,6.0,2.0
80892672.0,0.09912185714321564,56.35,82.52,4.0,2.0,6.0,8.0,7.0,2.0,1.0,7.0,2.0,1.0,5.0,1.0,4.0,7.0,7.0,7.0,1.0,2.0,3.0,7.0,4.0,8.0,8.0,8.0,8.0,8.0,2.0,5.0,6.0,3.0,1.0,5.0,1.0,7.0,8.0,6.0,8.0,5.0,1.0,5.0,1.0,3.0,3.0,1.0,6.0,4.0,2.0,1.0,4.0,1.0,3.0,1.0,1.0,2.0
81360064.0,0.0996945760546874,51.09,76.93,1.0,1.0,2.0,2.0,6.0,1.0,1.0,2.0,4.0,3.0,6.0,5.0,3.0,7.0,5.0,4.0,4.0,3.0,6.0,3.0,4.0,4.0,4.0,2.0,1.0,1.0,1.0,3.0,6.0,1.0,2.0,3.0,7.0,3.0,3.0,1.0,4.0,5.0,6.0,5.0,1.0,5.0,4.0,1.0,4.0,3.0,1.0,1.0,3.0,5.0,3.0,3.0,1.0,3.0
81240832.0,0.09954847509178559,68.33,89.05,4.0,8.0,3.0,8.0,1.0,3.0,7.0,2.0,5.0,3.0,2.0,6.0,1.0,4.0,6.0,3.0,1.0,8.0,8.0,1.0,1.0,5.0,2.0,3.0,4.0,1.0,1.0,1.0,4.0,6.0,4.0,7.0,3.0,6.0,1.0,6.0,1.0,7.0,3.0,4.0,4.0,4.0,3.0,1.0,7.0,1.0,1.0,1.0,3.0,7.0,2.0,1.0,1.0,6.0
81387840.0,0.09972861138367257,60.36,84.57,7.0,5.0,7.0,6.0,1.0,1.0,7.0,6.0,4.0,7.0,1.0,6.0,6.0,6.0,3.0,5.0,4.0,1.0,7.0,5.0,7.0,7.0,4.0,5.0,1.0,1.0,4.0,1.0,2.0,1.0,6.0,2.0,6.0,2.0,1.0,6.0,4.0,1.0,5.0,1.0,4.0,4.0,1.0,1.0,2.0,1.0,5.0,6.0,3.0,1.0,7.0,7.0,5.0,2.0
81578368.0,0.0999620749191308,66.35,87.41,2.0,2.0,5.0,6.0,4.0,1.0,1.0,4.0,2.0,2.0,1.0,6.0,5.0,7.0,1.0,3.0,5.0,3.0,5.0,1.0,5.0,6.0,1.0,1.0,2.0,1.0,1.0,5.0,5.0,2.0,1.0,1.0,6.0,1.0,7.0,1.0,3.0,1.0,3.0,1.0,7.0,3.0,4.0,4.0,4.0,3.0,3.0,1.0,3.0,6.0,7.0,7.0,1.0,4.0
81505408.0,0.09987267336373196,71.86,91.42,6.0,4.0,3.0,7.0,6.0,1.0,5.0,5.0,1.0,7.0,4.0,3.0,1.0,3.0,5.0,4.0,4.0,3.0,7.0,3.0,2.0,6.0,1.0,4.0,5.0,1.0,4.0,4.0,5.0,1.0,4.0,2.0,2.0,1.0,5.0,4.0,1.0,3.0,1.0,4.0,6.0,1.0,1.0,1.0,5.0,1.0,3.0,6.0,4.0,4.0,5.0,5.0,5.0,3.0
81446080.0,0.09979997578315762,56.87,80.94,1.0,1.0,3.0,2.0,1.0,4.0,6.0,1.0,1.0,4.0,7.0,3.0,1.0,2.0,1.0,7.0,4.0,3.0,1.0,7.0,6.0,5.0,5.0,4.0,5.0,6.0,1.0,6.0,1.0,7.0,7.0,4.0,3.0,5.0,1.0,1.0,2.0,3.0,7.0,1.0,4.0,2.0,4.0,1.0,3.0,4.0,2.0,6.0,3.0,3.0,5.0,1.0,4.0,5.0
81475520.0,0.09983605009498524,73.03,91.81,5.0,5.0,6.0,5.0,7.0,6.0,6.0,8.0,2.0,5.0,6.0,4.0,1.0,8.0,5.0,7.0,2.0,3.0,1.0,3.0,6.0,1.0,3.0,2.0,2.0,7.0,7.0,1.0,5.0,6.0,2.0,7.0,1.0,2.0,5.0,3.0,1.0,8.0,4.0,1.0,2.0,1.0,5.0,2.0,4.0,4.0,1.0,4.0,7.0,4.0,4.0,4.0,6.0,1.0
80618240.0,0.09878558181904874,65.16,87.38,4.0,7.0,1.0,1.0,2.0,1.0,6.0,3.0,1.0,3.0,3.0,6.0,5.0,4.0,4.0,1.0,7.0,6.0,1.0,6.0,2.0,3.0,2.0,5.0,3.0,4.0,7.0,1.0,5.0,1.0,5.0,1.0,5.0,3.0,6.0,1.0,2.0,2.0,3.0,4.0,1.0,2.0,5.0,1.0,1.0,5.0,1.0,4.0,4.0,4.0,4.0,6.0,6.0,5.0
79833472.0,0.09782396614159199,63.9,87.07,2.0,1.0,1.0,6.0,6.0,8.0,7.0,6.0,1.0,5.0,7.0,6.0,4.0,2.0,3.0,5.0,4.0,6.0,5.0,6.0,5.0,2.0,8.0,2.0,3.0,8.0,2.0,2.0,6.0,6.0,1.0,2.0,4.0,4.0,6.0,1.0,3.0,3.0,2.0,7.0,2.0,1.0,3.0,5.0,5.0,1.0,1.0,1.0,1.0,2.0,5.0,3.0,5.0,5.0
81083968.0,0.09935626174767807,57.08,82.24,3.0,2.0,5.0,4.0,2.0,7.0,4.0,3.0,4.0,1.0,5.0,6.0,4.0,4.0,8.0,1.0,1.0,2.0,3.0,3.0,6.0,7.0,1.0,6.0,1.0,7.0,2.0,1.0,2.0,2.0,6.0,4.0,1.0,5.0,4.0,6.0,1.0,1.0,3.0,2.0,7.0,3.0,7.0,4.0,5.0,6.0,4.0,1.0,1.0,1.0,5.0,8.0,6.0,7.0
81496448.0,0.09986169422534964,59.27,83.66,2.0,1.0,2.0,1.0,3.0,3.0,3.0,2.0,1.0,5.0,4.0,5.0,1.0,6.0,1.0,4.0,5.0,3.0,2.0,6.0,2.0,5.0,8.0,1.0,4.0,1.0,5.0,5.0,6.0,1.0,7.0,1.0,6.0,8.0,4.0,6.0,1.0,1.0,3.0,2.0,2.0,1.0,2.0,4.0,3.0,7.0,5.0,7.0,1.0,1.0,5.0,2.0,3.0,6.0
79889920.0,0.09789313471340057,63.15,87.13,8.0,8.0,4.0,6.0,3.0,3.0,6.0,7.0,2.0,3.0,4.0,5.0,4.0,5.0,1.0,1.0,5.0,3.0,2.0,3.0,7.0,3.0,3.0,5.0,5.0,8.0,1.0,8.0,6.0,3.0,2.0,5.0,2.0,1.0,3.0,5.0,4.0,3.0,3.0,4.0,6.0,3.0,1.0,4.0,7.0,4.0,3.0,1.0,1.0,1.0,6.0,6.0,8.0,7.0
81237504.0,0.09954439712610073,51.87,79.27,8.0,4.0,7.0,2.0,3.0,1.0,7.0,3.0,7.0,6.0,5.0,1.0,8.0,3.0,2.0,5.0,8.0,8.0,1.0,2.0,1.0,3.0,4.0,1.0,5.0,1.0,5.0,5.0,1.0,1.0,8.0,6.0,8.0,7.0,3.0,2.0,8.0,6.0,7.0,7.0,2.0,4.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,6.0,6.0,7.0
81389952.0,0.09973119932343412,68.48,89.42,2.0,3.0,1.0,7.0,1.0,4.0,7.0,7.0,1.0,4.0,6.0,3.0,1.0,2.0,3.0,6.0,3.0,3.0,7.0,7.0,1.0,2.0,6.0,3.0,7.0,6.0,3.0,5.0,5.0,3.0,7.0,1.0,6.0,1.0,3.0,6.0,6.0,1.0,6.0,5.0,2.0,1.0,6.0,1.0,3.0,1.0,1.0,1.0,3.0,5.0,6.0,6.0,2.0,3.0
