Size,SizeRatio,Top1,Top5,W1,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W2,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W3,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W4,W40,W41,W42,W43,W44,W45,W46,W47,W48,W49,W5,W50,W51,W52,W53,W54,W6,W7,W8,W9
81298624.0,0.09961929053435153,29.19,56.7,1.0,1.0,7.0,7.0,5.0,4.0,3.0,3.0,7.0,3.0,5.0,3.0,5.0,6.0,5.0,1.0,1.0,7.0,5.0,7.0,6.0,2.0,7.0,3.0,4.0,2.0,2.0,7.0,4.0,1.0,4.0,1.0,4.0,5.0,7.0,5.0,1.0,6.0,5.0,1.0,3.0,4.0,6.0,5.0,1.0,3.0,1.0,3.0,1.0,1.0,6.0,3.0,5.0,7.0
79860480.0,0.09785706040157297,58.36,82.77,4.0,5.0,2.0,4.0,2.0,5.0,2.0,6.0,3.0,7.0,5.0,5.0,3.0,4.0,1.0,3.0,1.0,6.0,7.0,1.0,3.0,6.0,7.0,1.0,2.0,1.0,5.0,2.0,3.0,1.0,5.0,2.0,2.0,4.0,4.0,3.0,5.0,1.0,4.0,6.0,1.0,1.0,7.0,2.0,1.0,5.0,3.0,4.0,1.0,1.0,4.0,3.0,4.0,6.0
80477760.0,0.09861344461369745,63.08,86.2,3.0,2.0,1.0,5.0,2.0,6.0,6.0,2.0,1.0,2.0,5.0,5.0,6.0,5.0,1.0,1.0,4.0,4.0,1.0,1.0,7.0,6.0,1.0,4.0,2.0,4.0,1.0,1.0,7.0,3.0,3.0,2.0,7.0,6.0,2.0,1.0,1.0,7.0,6.0,4.0,1.0,1.0,2.0,1.0,1.0,4.0,1.0,6.0,6.0,3.0,7.0,5.0,7.0,2.0
81501760.0,0.099868203285962,67.35,88.72,3.0,6.0,3.0,5.0,6.0,6.0,3.0,4.0,5.0,1.0,7.0,3.0,1.0,4.0,6.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,4.0,7.0,6.0,4.0,3.0,6.0,1.0,6.0,1.0,3.0,1.0,6.0,1.0,2.0,6.0,3.0,2.0,4.0,3.0,3.0,1.0,1.0,4.0,3.0,4.0,6.0,1.0,3.0,4.0,6.0,6.0,7.0
80767360.0,0.09896830605069727,47.51,73.86,2.0,3.0,1.0,4.0,2.0,2.0,1.0,1.0,1.0,4.0,5.0,1.0,3.0,6.0,4.0,6.0,2.0,2.0,2.0,2.0,3.0,4.0,1.0,4.0,6.0,3.0,3.0,4.0,3.0,1.0,1.0,4.0,2.0,3.0,5.0,3.0,4.0,1.0,4.0,6.0,5.0,3.0,1.0,4.0,1.0,1.0,3.0,4.0,2.0,1.0,4.0,1.0,2.0,1.0
81544704.0,0.0999208247277801,59.5,83.01,8.0,1.0,3.0,4.0,2.0,1.0,3.0,1.0,1.0,1.0,5.0,7.0,7.0,4.0,3.0,3.0,8.0,2.0,4.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,6.0,4.0,7.0,4.0,2.0,3.0,4.0,4.0,6.0,1.0,2.0,4.0,3.0,3.0,1.0,3.0,1.0,2.0,3.0,7.0,4.0,5.0,7.0,1.0,4.0,5.0,8.0,3.0
81417408.0,0.09976484254033421,45.31,71.99,1.0,4.0,2.0,1.0,1.0,1.0,7.0,3.0,2.0,7.0,1.0,3.0,2.0,5.0,2.0,3.0,6.0,5.0,1.0,7.0,7.0,6.0,1.0,5.0,1.0,1.0,1.0,5.0,4.0,3.0,4.0,1.0,3.0,3.0,2.0,5.0,4.0,1.0,1.0,6.0,1.0,5.0,1.0,1.0,1.0,1.0,4.0,2.0,3.0,5.0,4.0,3.0,2.0,7.0
81082304.0,0.09935422276483565,55.48,81.26,5.0,4.0,1.0,7.0,7.0,4.0,6.0,3.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,6.0,4.0,2.0,4.0,1.0,4.0,6.0,5.0,3.0,7.0,6.0,7.0,5.0,6.0,4.0,6.0,2.0,5.0,1.0,5.0,3.0,4.0,2.0,6.0,5.0,4.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,4.0,2.0,7.0,1.0
81251456.0,0.09956149321301035,60.91,84.12,6.0,3.0,1.0,1.0,4.0,3.0,1.0,3.0,1.0,3.0,4.0,1.0,1.0,3.0,3.0,5.0,3.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0,2.0,6.0,3.0,1.0,1.0,1.0,4.0,3.0,6.0,2.0,1.0,3.0,3.0,1.0,2.0,5.0,6.0,2.0,6.0,4.0,6.0,1.0,3.0,3.0,1.0,4.0,1.0,6.0,1.0,1.0
80667840.0,0.09884635919223655,46.87,73.14,1.0,5.0,6.0,2.0,4.0,3.0,6.0,4.0,1.0,4.0,4.0,1.0,5.0,1.0,3.0,1.0,1.0,1.0,3.0,5.0,5.0,2.0,1.0,5.0,4.0,3.0,1.0,2.0,6.0,4.0,1.0,5.0,5.0,4.0,2.0,4.0,5.0,2.0,6.0,2.0,5.0,5.0,4.0,1.0,1.0,1.0,1.0,3.0,1.0,5.0,1.0,1.0,1.0,2.0
