"A1","A10","A11","A12","A13","A14","A15","A16","A17","A18","A19","A2","A3","A4","A5","A6","A7","A8","A9","Top1","Top5","W1","W10","W11","W12","W13","W14","W15","W16","W17","W18","W19","W2","W3","W4","W5","W6","W7","W8","W9"
4,7,6,4,8,8,5,8,6,6,7,7,7,4,5,2,8,7,8,0.38,1.57,5,2,5,3,5,3,5,1,3,4,2,6,6,5,6,5,2,4,1
8,7,7,7,7,7,7,2,7,4,3,7,7,7,8,6,6,5,3,81.33,95.52,8,8,7,6,7,4,7,3,2,7,3,4,6,6,6,4,6,8,7
6,6,8,8,6,7,6,6,5,8,7,7,6,8,4,8,7,7,7,47.31,75.56,3,6,5,4,3,1,6,4,2,5,1,6,5,5,6,4,3,2,1
5,7,8,4,6,4,6,1,8,8,4,7,5,5,7,4,8,5,6,47.23,73.57,2,4,3,4,5,2,5,4,2,4,4,5,5,1,4,3,3,5,3
1,5,7,6,4,7,8,8,2,6,7,7,6,7,6,8,8,8,8,0.23,1.14,4,4,3,3,3,4,3,4,3,1,2,3,4,1,4,1,3,3,1
4,7,7,7,5,7,7,6,8,8,8,7,6,6,8,7,7,5,8,58.39,84.06,3,3,4,2,3,5,1,1,3,3,4,5,3,5,4,5,3,3,3
3,6,7,7,8,4,7,6,3,8,8,7,6,8,4,7,8,8,8,81.68,95.61,5,3,6,6,7,7,7,7,2,6,2,7,5,4,7,4,6,5,5
7,5,5,5,8,5,6,7,7,8,7,5,5,6,5,8,8,6,5,78.48,94.34,7,1,5,3,6,4,6,6,3,3,2,7,6,5,4,6,6,6,4
7,5,8,8,4,7,5,7,7,6,8,8,5,7,7,8,7,6,6,70.92,90.71,5,5,4,5,5,5,4,5,3,2,4,2,4,2,4,2,2,4,3
7,8,6,8,6,7,7,8,8,8,8,8,7,8,5,3,4,7,5,52.92,77.99,5,4,3,5,3,2,3,5,2,4,4,3,1,4,5,2,4,4,5
8,6,7,4,7,7,6,8,3,8,6,7,7,8,7,5,6,6,5,7.14,18.4,3,2,1,3,5,2,3,4,3,4,3,4,3,1,5,3,5,3,5
7,4,7,2,6,1,7,7,8,5,5,8,7,8,8,7,7,5,4,78.45,95.04,7,4,6,4,6,7,7,6,3,1,1,6,4,6,6,5,6,7,6
5,6,6,6,6,5,7,5,7,7,6,6,8,7,6,8,7,4,8,81.68,95.8,5,7,4,6,5,7,5,3,3,1,3,3,5,5,5,5,6,7,5
