"A1","A10","A11","A12","A13","A14","A15","A16","A17","A18","A19","A2","A3","A4","A5","A6","A7","A8","A9","Top1","Top5","W1","W10","W11","W12","W13","W14","W15","W16","W17","W18","W19","W2","W3","W4","W5","W6","W7","W8","W9"
3,1,6,1,3,7,1,8,2,3,4,2,2,7,2,7,5,3,5,0.1,0.44,5,1,2,2,1,1,3,1,3,1,3,1,4,3,1,1,1,1,3
5,2,7,5,7,3,7,8,2,3,3,4,1,1,6,8,7,3,2,0.35,1.46,3,4,1,2,2,5,3,6,3,3,5,4,4,1,1,4,4,2,6
1,2,6,4,6,8,6,3,5,1,2,8,4,8,4,1,6,1,1,0.08,0.6,2,5,4,6,5,2,5,1,3,2,3,6,1,3,3,6,2,4,1
2,7,3,2,7,4,1,4,5,4,2,3,7,6,6,7,6,4,5,0.04,0.43,6,1,6,2,3,5,5,1,3,3,2,1,1,1,4,1,1,1,6
4,5,4,8,2,3,3,4,2,2,4,8,5,4,5,2,7,2,4,61.89,85.61,4,6,2,3,6,6,1,1,2,5,6,8,6,7,5,1,8,7,4
4,4,6,4,4,8,8,7,3,4,1,8,5,4,5,1,3,5,3,0.08,0.5,3,2,2,2,4,3,3,2,3,1,1,3,1,1,2,1,1,1,2
8,1,7,8,1,5,8,6,5,8,7,7,1,8,3,1,1,2,2,0.07,0.45,1,1,2,1,5,6,3,6,3,1,1,5,5,6,4,2,5,4,4
3,7,3,4,2,7,1,1,6,8,2,4,7,3,4,5,3,7,2,6.33,19.7,6,4,6,5,1,5,5,3,2,3,5,4,5,3,2,3,6,3,5
4,8,8,3,4,5,3,1,5,6,1,6,6,5,7,3,5,2,6,0.09,0.57,5,1,5,3,4,1,1,5,3,4,4,4,1,4,5,4,4,2,5
1,8,4,5,3,5,5,3,5,2,5,4,6,8,5,7,6,4,1,67.35,88.83,3,1,1,7,4,4,7,6,3,1,3,7,7,6,4,5,4,7,6
7,7,5,7,8,5,5,5,7,8,3,5,6,3,3,8,6,4,4,0.11,0.6,4,1,4,3,3,1,1,5,3,3,1,3,1,3,1,1,5,3,4
4,8,8,7,3,3,3,7,4,7,5,8,3,4,2,8,1,6,7,74.06,92.42,7,7,3,3,1,1,4,4,3,4,4,7,6,7,5,5,4,2,3
4,5,7,4,7,6,1,8,4,2,7,8,7,7,5,4,8,8,2,80.94,95.47,5,7,6,6,6,4,6,6,2,3,1,8,5,8,6,5,6,7,6
8,7,5,4,5,5,2,6,7,4,6,2,2,1,2,4,5,8,4,0.26,1.52,5,2,4,2,5,5,1,1,3,4,4,3,5,4,5,5,2,1,1
